county,gini
"Kootenai County, Idaho",0.458
"Twin Falls County, Idaho",0.4232
"Adams County, Illinois",0.4536
"Champaign County, Illinois",0.5061
"Cook County, Illinois",0.5094
"DeKalb County, Illinois",0.4431
"DuPage County, Illinois",0.4562
"Kane County, Illinois",0.4461
"Kankakee County, Illinois",0.4321
"Kendall County, Illinois",0.3791
"Lake County, Illinois",0.4818
"LaSalle County, Illinois",0.428
"McHenry County, Illinois",0.3957
"McLean County, Illinois",0.4666
"Macon County, Illinois",0.4794
"Madison County, Illinois",0.4414
"Peoria County, Illinois",0.4812
"Rock Island County, Illinois",0.426
"St. Clair County, Illinois",0.4639
"Sangamon County, Illinois",0.4646
"Tazewell County, Illinois",0.4163
"Vermilion County, Illinois",0.4523
"Will County, Illinois",0.4146
"Williamson County, Illinois",0.4731
"Winnebago County, Illinois",0.4342
"Allen County, Indiana",0.4719
"Bartholomew County, Indiana",0.4313
"Clark County, Indiana",0.3982
"Delaware County, Indiana",0.4544
"Elkhart County, Indiana",0.4415
"Floyd County, Indiana",0.4406
"Grant County, Indiana",0.4043
"Hamilton County, Indiana",0.4485
"Hancock County, Indiana",0.3651
"Hendricks County, Indiana",0.3854
"Howard County, Indiana",0.4359
"Johnson County, Indiana",0.3956
"Kosciusko County, Indiana",0.3985
"Lake County, Indiana",0.4424
"LaPorte County, Indiana",0.4666
"Madison County, Indiana",0.4129
"Marion County, Indiana",0.481
"Monroe County, Indiana",0.5048
"Morgan County, Indiana",0.4115
"Porter County, Indiana",0.4337
"St. Joseph County, Indiana",0.4575
"Tippecanoe County, Indiana",0.4555
"Vanderburgh County, Indiana",0.48
"Vigo County, Indiana",0.4828
"Wayne County, Indiana",0.5028
"Black Hawk County, Iowa",0.4605
"Dallas County, Iowa",0.4415
"Dubuque County, Iowa",0.4187
"Johnson County, Iowa",0.4863
"Linn County, Iowa",0.4376
"Polk County, Iowa",0.45
"Pottawattamie County, Iowa",0.4008
"Scott County, Iowa",0.4423
"Story County, Iowa",0.4818
"Woodbury County, Iowa",0.4381
"Butler County, Kansas",0.3996
"Douglas County, Kansas",0.5017
"Johnson County, Kansas",0.4523
"Leavenworth County, Kansas",0.4189
"Riley County, Kansas",0.468
"Sedgwick County, Kansas",0.4641
"Shawnee County, Kansas",0.4438
"Wyandotte County, Kansas",0.4264
"Boone County, Kentucky",0.4368
"Bullitt County, Kentucky",0.3664
"Campbell County, Kentucky",0.4774
"Christian County, Kentucky",0.4036
"Daviess County, Kentucky",0.4653
"Fayette County, Kentucky",0.5052
"Hardin County, Kentucky",0.4206
"Jefferson County, Kentucky",0.4773
"Kenton County, Kentucky",0.4453
"McCracken County, Kentucky",0.5792
"Madison County, Kentucky",0.4548
"Pike County, Kentucky",0.5096
"Warren County, Kentucky",0.4825
"Ascension Parish, Louisiana",0.4089
"Bossier Parish, Louisiana",0.4478
"Caddo Parish, Louisiana",0.4995
"Calcasieu Parish, Louisiana",0.4737
"East Baton Rouge Parish, Louisiana",0.4943
"Iberia Parish, Louisiana",0.5086
"Jefferson Parish, Louisiana",0.4466
"Lafayette Parish, Louisiana",0.5113
"Lafourche Parish, Louisiana",0.4639
"Livingston Parish, Louisiana",0.4317
"Orleans Parish, Louisiana",0.5636
"Ouachita Parish, Louisiana",0.51
"Rapides Parish, Louisiana",0.4774
"St. Landry Parish, Louisiana",0.5526
"St. Tammany Parish, Louisiana",0.4647
"Tangipahoa Parish, Louisiana",0.4905
"Terrebonne Parish, Louisiana",0.4564
"Androscoggin County, Maine",0.4275
"Aroostook County, Maine",0.4766
"Cumberland County, Maine",0.4685
"Kennebec County, Maine",0.4269
"Penobscot County, Maine",0.4481
"York County, Maine",0.4127
"Allegany County, Maryland",0.4426
"Anne Arundel County, Maryland",0.4129
"Baltimore County, Maryland",0.4558
"Calvert County, Maryland",0.3525
"Carroll County, Maryland",0.3902
"Cecil County, Maryland",0.395
"Charles County, Maryland",0.3621
"Frederick County, Maryland",0.416
"Harford County, Maryland",0.4234
"Howard County, Maryland",0.3899
"Montgomery County, Maryland",0.4667
"Prince George's County, Maryland",0.3961
"St. Mary's County, Maryland",0.3866
"Washington County, Maryland",0.4388
"Wicomico County, Maryland",0.4094
"Baltimore city, Maryland",0.5192
"Barnstable County, Massachusetts",0.4593
"Berkshire County, Massachusetts",0.471
"Bristol County, Massachusetts",0.447
"Essex County, Massachusetts",0.4853
"Franklin County, Massachusetts",0.4499
"Hampden County, Massachusetts",0.4655
"Hampshire County, Massachusetts",0.476
"Middlesex County, Massachusetts",0.4641
"Norfolk County, Massachusetts",0.4755
